,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
3260,tm1019084,Ginny & Georgia - The Afterparty,"Cast members of the hit Netflix show join the hosts to unpack the drama of Season 1, and Cristela Alonzo offers tips for being the new kid at school.",2021,[],,,3.715,7.9,DavidSpade LondonHughes FortuneFeimster BrianneHowey AntoniaGentry JenniferRobertson SaraWaisglass,"cast members of the hit netflix show join the hosts to unpack the drama of season 1, and cristela alonzo offers tips for being the new kid at school. davidspade londonhughes fortunefeimster briannehowey antoniagentry jenniferrobertson sarawaisglass"
3261,tm1094060,My Heroes Were Cowboys,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021,['documentation'],,,3.145,7.7,RobinWiltshire,"robin wiltshire's painful childhood was rescued by westerns. now he lives on the frontier of his dreams, training the horses he loves for the big screen. robinwiltshire"
3262,tm1038025,Slay,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities.",2021,"['romance', 'comedy']",3.2,103.0,1.676,6.0,RamseyNouah AmandaDu-Pont DawnThandekaKing IdrisSultan TrevorGumbi TumiMorake FabianAdeoyeLojede LilianDube LeroyGopal EnhleMbaliMlotshwa JoeKazadi SimphiweNgema KabomoVilakazi,"in pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities. ramseynouah amandadu-pont dawnthandekaking idrissultan trevorgumbi tumimorake fabianadeoyelojede liliandube leroygopal enhlembalimlotshwa joekazadi simphiwengema kabomovilakazi"
3263,tm986017,Gatao: The Last Stray,"A Qing encounters the photographer Xiao Qi at the full moon banquet of the daughter of the big brother Ren Ge at the corner of the Beiguan. They fall in love with each other. But, sadly, they aren't able to stay together at the end.",2021,"['action', 'crime', 'drama', 'romance']",5.9,266.0,3.141,4.9,RexenChengJen-Shuo NikkiHsieh JackKao LungShao-Hua AlanKuo TaiBo HsinShao PeggyTseng KellyPoon AlexShu-YuanKo Shang-HoHuang Chen-KangTang Tsai-HsingChang Jen-YaWu SamuelKu ChienSheng Wan-TingTseng BambooChen TaoYuLin AngelWang SunYiming,"a qing encounters the photographer xiao qi at the full moon banquet of the daughter of the big brother ren ge at the corner of the beiguan. they fall in love with each other. but, sadly, they aren't able to stay together at the end. rexenchengjen-shuo nikkihsieh jackkao lungshao-hua alankuo taibo hsinshao peggytseng kellypoon alexshu-yuanko shang-hohuang chen-kangtang tsai-hsingchang jen-yawu samuelku chiensheng wan-tingtseng bamboochen taoyulin angelwang sunyiming"
3264,tm1080697,Binti,Four Tanzanian women are unknowingly connected through their ability to persevere extreme hardships in the city of Dar-es-Salaam.,2021,['drama'],5.6,122.0,1.921,9.0,GodliverGordian MagdalenaMunisi HelenHartmann BerthaRobert,four tanzanian women are unknowingly connected through their ability to persevere extreme hardships in the city of dar-es-salaam. godlivergordian magdalenamunisi helenhartmann bertharobert
3265,tm1046969,Myriam Fares: The Journey,"From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown.",2021,"['documentation', 'music']",2.3,167.0,1.487,,MyriamFares,"from pregnancy to album preparations, lebanese singer and “queen of the stage” myriam fares documents her experiences with her family while in lockdown. myriamfares"
3266,tm1099320,Convergence: Courage in a Crisis,"Activists and volunteers work through the darkest days of 2020, galvanizing social change amidst chaos as governments start to fail local communities. This epic, globally spanning and deeply passionate documentary serves as a clarion call that great change can be born of crisis.",2021,['documentation'],5.4,262.0,6.589,5.2,WenhuaLin SaraKhaki MohammadReziEyni,"activists and volunteers work through the darkest days of 2020, galvanizing social change amidst chaos as governments start to fail local communities. this epic, globally spanning and deeply passionate documentary serves as a clarion call that great change can be born of crisis. wenhualin sarakhaki mohammadrezieyni"
3267,tm1040959,The Circle: The Afterparty,"Stars of The Circle drop by to discuss Season 2's big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another.",2021,[],,,1.882,10.0,DavidSpade FortuneFeimster LondonHughes,"stars of the circle drop by to discuss season 2's big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another. davidspade fortunefeimster londonhughes"
3268,tm982470,Stuck Apart,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together.",2021,"['comedy', 'drama']",6.0,10515.0,7.403,6.2,EnginGünaydın HalukBilginer BinnurKaya ÖnerErkan FatihArtman İremSak GülçinSantırcıoğlu İlkerAksum HülyaDuyar GöktugYildirim OkanYalabık BergüzarKorel HalitErgenç HelinKandemir DenizTekin BugayAkman HazalAraci GizemSayacan AllaSerimogu AslıIşık OlcayZuhalGören,"entrenched in a midlife crisis, aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together. engingünaydın halukbilginer binnurkaya önererkan fatihartman i̇remsak gülçinsantırcıoğlu i̇lkeraksum hülyaduyar göktugyildirim okanyalabık bergüzarkorel halitergenç helinkandemir deniztekin bugayakman hazalaraci gizemsayacan allaserimogu aslıişık olcayzuhalgören"
3269,tm1204412,"Let's Tie the Knot, Honey!","Guille decides it's time to take the next step and that's how she looks to marry her sweetheart, but things get complicated and nothing goes as planned.",2022,"['comedy', 'romance']",4.4,26.0,120.14,2.0,YiddáEslava JuliánZucchi AndrésSalas MayraOlivera PietroSibille SantiagoSuárez,"guille decides it's time to take the next step and that's how she looks to marry her sweetheart, but things get complicated and nothing goes as planned. yiddáeslava juliánzucchi andréssalas mayraolivera pietrosibille santiagosuárez"
3270,tm1049317,Upcoming Summer,"It tells the story of a girl who failed the college entrance exam and a young man who's a free soul.  Chen Chen failed the gaokao (National College Entrance Examination) while Zheng Yu Xing had to return to school because he missed the exams. The two ended up meeting because of a lie Chen Chen said and had to come up with a way to quell the doubts of their teachers and parents. Having met in their youth, they hold hands as they face different problems growing up and forge a deep friendship.",2021,['drama'],6.7,486.0,3.257,6.2,LeoWu ZhangZifeng HaoLei ZuFeng LiuXiaohai LiuDan TieZhou,"it tells the story of a girl who failed the college entrance exam and a young man who's a free soul.  chen chen failed the gaokao (national college entrance examination) while zheng yu xing had to return to school because he missed the exams. the two ended up meeting because of a lie chen chen said and had to come up with a way to quell the doubts of their teachers and parents. having met in their youth, they hold hands as they face different problems growing up and forge a deep friendship. leowu zhangzifeng haolei zufeng liuxiaohai liudan tiezhou"
3271,tm1183575,Celeb Five: Behind the Curtain,Jokes and improv take center stage as comedian girl group Celeb Five brainstorms material for a comedy special in this behind-the-scenes mockumentary.,2022,"['comedy', 'documentation']",4.7,29.0,1.674,5.0,SongEun-yi KimShin-young ShinBong-sun AnYoung-mi,jokes and improv take center stage as comedian girl group celeb five brainstorms material for a comedy special in this behind-the-scenes mockumentary. songeun-yi kimshin-young shinbong-sun anyoung-mi
3272,tm1121084,Izla,"Two brothers accompany a group of vloggers on their search for a mythical island. But when they find it, they uncover one sinister secret after another.",2021,"['horror', 'comedy']",3.7,115.0,2.356,5.3,PaoloContis ArchieAlemania BeautyGonzalez IsabelleDaza ElisseJoson NiñoMuhlach SunshineGarcia AnalynBarro AikoClimanco KaraMitzki RobertAntonio SvetlanaJaloslosDeLeon RonaldCarbonel RalandDelRosario ArchieDaguinod JojieArlanza BeverlyBustria ReyMarkRuales CarenBautista MarkLloydJamello DanceldaleCalago JustineAlimpuangan JelsonBay CarriteroBernard BensonDalina PepeHerrera,"two brothers accompany a group of vloggers on their search for a mythical island. but when they find it, they uncover one sinister secret after another. paolocontis archiealemania beautygonzalez isabelledaza elissejoson niñomuhlach sunshinegarcia analynbarro aikoclimanco karamitzki robertantonio svetlanajaloslosdeleon ronaldcarbonel ralanddelrosario archiedaguinod jojiearlanza beverlybustria reymarkruales carenbautista marklloydjamello danceldalecalago justinealimpuangan jelsonbay carriterobernard bensondalina pepeherrera"
