,Unnamed: 0,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
1425,1425,ts349921,That’s My Time with David Letterman,David Letterman invites some of the hottest up-and-coming stand-up stars to perform a set and sit down for a chat.,2022,['comedy'],6.7,140.0,1.868,7.0,DavidLetterman,david letterman invites some of the hottest up-and-coming stand-up stars to perform a set and sit down for a chat. davidletterman
1426,1426,ts270405,Pretend It's a City,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.",2021,"['comedy', 'documentation']",8.1,7296.0,3.576,7.6,FranLebowitz MartinScorsese AlecBaldwin SpikeLee,"wander the new york city streets and fascinating mind of wry writer, humorist and raconteur fran lebowitz as she sits down with martin scorsese. franlebowitz martinscorsese alecbaldwin spikelee"
1427,1427,ts192196,Q-Force,A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.,2021,"['animation', 'action', 'comedy', 'crime', 'fantasy', 'scifi']",6.3,5294.0,10.637,7.2,SeanHayes GaryCole DavidHarbour PattiHarrison LaurieMetcalf MattRogers WandaSykes GabeLiedman,a handsome secret agent and his team of lgbtq superspies embark on extraordinary adventures. seanhayes garycole davidharbour pattiharrison lauriemetcalf mattrogers wandasykes gabeliedman
1428,1428,ts297247,That Girl Lay Lay,"That Girl Lay Lay follows Lay Lay, the perfect hype girl and best friend that anyone could ever want from their personal affirmation app. Struggling to make her mark at school and needing a best friend to talk to, Sadie wishes upon a star that Lay Lay was real and could help teach her how to stand out. When her wish comes true and Lay Lay is magically brought to life, the two friends learn that when they are together, they can accomplish anything, and navigate life as teenagers and discover who they truly are.",2021,['comedy'],3.6,254.0,5.946,9.5,ThatGirlLayLay PeytonR.PerrineIII CalebBrown TiffanyDaniels ThomasHobson GabrielleNevaehGreen,"that girl lay lay follows lay lay, the perfect hype girl and best friend that anyone could ever want from their personal affirmation app. struggling to make her mark at school and needing a best friend to talk to, sadie wishes upon a star that lay lay was real and could help teach her how to stand out. when her wish comes true and lay lay is magically brought to life, the two friends learn that when they are together, they can accomplish anything, and navigate life as teenagers and discover who they truly are. thatgirllaylay peytonr.perrineiii calebbrown tiffanydaniels thomashobson gabriellenevaehgreen"
1429,1429,ts271604,Blue Period,"Bored with life, popular high schooler Yatora Yaguchi jumps into the beautiful yet unrelenting world of art after finding inspiration in a painting.",2021,"['animation', 'drama']",7.7,1956.0,8.106,7.7,HiromuMineta YumiriHanamori DaikiYamashita KengoKawanishi YumeMiyamoto MayuAoyagi FumiHirano MasayaFukunishi ShinichiroKamio TatsumaruTachibana MikaHiratsuka IkumiHasegawa YunaNemoto AoiKoga YukiKazu EmiriSuyama TaishiMurata SaoriOnishi,"bored with life, popular high schooler yatora yaguchi jumps into the beautiful yet unrelenting world of art after finding inspiration in a painting. hiromumineta yumirihanamori daikiyamashita kengokawanishi yumemiyamoto mayuaoyagi fumihirano masayafukunishi shinichirokamio tatsumarutachibana mikahiratsuka ikumihasegawa yunanemoto aoikoga yukikazu emirisuyama taishimurata saorionishi"
1430,1430,ts341767,Kotaro Lives Alone,A lonely little boy moves into a ramshackle apartment building all on his own and makes friends with the broke manga artist who lives next door.,2022,"['animation', 'drama', 'comedy']",8.4,2281.0,13.897,6.9,RieKugimiya ToshikiMasuda JunichiSuwabe SaoriHayami,a lonely little boy moves into a ramshackle apartment building all on his own and makes friends with the broke manga artist who lives next door. riekugimiya toshikimasuda junichisuwabe saorihayami
1431,1431,ts288744,The Sound of Magic,An enigmatic magician living in an abandoned amusement park introduces magic into the life of a high schooler struggling with harsh realities.,2022,"['scifi', 'drama', 'fantasy', 'music']",7.7,2783.0,117.687,7.5,JiChang-wook ChoiSung-eun HwangIn-yeop HongSeo-hee NamDa-reum ChiHae-won Sung-eunChoi LisaYamada ChaseYi YouChea-myung KimHye-eun,an enigmatic magician living in an abandoned amusement park introduces magic into the life of a high schooler struggling with harsh realities. jichang-wook choisung-eun hwangin-yeop hongseo-hee namda-reum chihae-won sung-eunchoi lisayamada chaseyi youchea-myung kimhye-eun
1432,1432,ts273485,Baki Hanma,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.",2021,"['animation', 'action', 'drama', 'sport', 'thriller']",6.6,1685.0,211.093,8.049,NobunagaShimazaki AkioOtsuka HochuOtsuka KenjiNojima MamiKoyama TakayaHashi MegumiHan TesshouGenda YasuhiroMamiya KoichiYamadera KenshoOno RyoichiTanaka TomohisaAso TaitenKusunoki ToruOkawa JiroSaito MasashiEbara ToruFuruya,"to gain the skills he needs to surpass his powerful father, baki enters arizona state prison to take on the notorious inmate known as mr. unchained. nobunagashimazaki akiootsuka hochuotsuka kenjinojima mamikoyama takayahashi megumihan tesshougenda yasuhiromamiya koichiyamadera kenshoono ryoichitanaka tomohisaaso taitenkusunoki toruokawa jirosaito masashiebara torufuruya"
1433,1433,ts290643,Super Crooks,Johnny Bolt recruits a group of ragtag supervillains for one last heist. Their target: A ruthless super-powered crime boss. What can go wrong?,2021,"['action', 'crime', 'fantasy', 'scifi', 'drama', 'animation']",7.1,2254.0,6.317,7.2,KenjiroTsuda MaayaSakamoto YasujiKimura PierreTaki JunichiSuwabe HisaoEgawa EijiTakemoto SubaruKimura WataruHatano KENN TetsuInada HiroshiYanaka,johnny bolt recruits a group of ragtag supervillains for one last heist. their target: a ruthless super-powered crime boss. what can go wrong? kenjirotsuda maayasakamoto yasujikimura pierretaki junichisuwabe hisaoegawa eijitakemoto subarukimura wataruhatano kenn tetsuinada hiroshiyanaka
1434,1434,ts313689,Our Beloved Summer,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives.",2021,"['comedy', 'drama']",,,17.209,8.9,ChoiWoo-shik KimDa-mi KimSung-cheol RohJeong-eui AhnDong-goo JeonHye-won ParkJin-joo LeeJun-hyuk,"years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. choiwoo-shik kimda-mi kimsung-cheol rohjeong-eui ahndong-goo jeonhye-won parkjin-joo leejun-hyuk"
1435,1435,ts313646,"Mom, Don't Do That!","After her husband's death, a 60-year-old mom decides to find love again to the joy and annoyance of her two daughters. Based on a true story.",2022,"['comedy', 'drama', 'romance']",6.5,87.0,116.074,9.0,BillieWang AlyssaChia KoChia-yen WuKang-ren AustinLin JohnnyKouHsi-Shun Wan-TingTseng,"after her husband's death, a 60-year-old mom decides to find love again to the joy and annoyance of her two daughters. based on a true story. billiewang alyssachia kochia-yen wukang-ren austinlin johnnykouhsi-shun wan-tingtseng"
1436,1436,ts271867,Vincenzo,"Vincenzo Cassano is an Italian lawyer and Mafia consigliere who moves back to Korea due to a conflict within his organization. He ends up crossing paths with a sharp-tongued lawyer named Cha-young, and the two join forces in using villainous methods to take down villains who cannot be punished by the law.",2021,"['action', 'drama', 'comedy', 'crime', 'romance']",8.4,16358.0,50.764,8.8,SongJoong-ki JeonYeo-been OkTaec-yeon YouChea-myung KimYeo-jin KwakDong-yeon JoHan-chul LeeHang-na ChoiDeok-moon KimHyeong-mook YangGyeong-won YoonByung-hee KimSeol-jin LimCheol-soo SeoYe-hwa KimYoon-hye KimYoung-woong ChoiYoung-jun KangChae-min YoonBok-in JungJi-yoon,"vincenzo cassano is an italian lawyer and mafia consigliere who moves back to korea due to a conflict within his organization. he ends up crossing paths with a sharp-tongued lawyer named cha-young, and the two join forces in using villainous methods to take down villains who cannot be punished by the law. songjoong-ki jeonyeo-been oktaec-yeon youchea-myung kimyeo-jin kwakdong-yeon johan-chul leehang-na choideok-moon kimhyeong-mook yanggyeong-won yoonbyung-hee kimseol-jin limcheol-soo seoye-hwa kimyoon-hye kimyoung-woong choiyoung-jun kangchae-min yoonbok-in jungji-yoon"
1437,1437,ts314742,He-Man and the Masters of the Universe,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",2021,"['animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'scifi']",5.8,1679.0,22.627,7.078,YuriLowenthal,"eternia's prince adam discovers the power of grayskull and transforms into he-man, master of the universe. a reimagining of the classic animated series. yurilowenthal"
1438,1438,ts333834,The Ultimatum: Marry or Move On,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.,2022,['reality'],5.4,1759.0,2.696,6.2,VanessaLachey NickLachey,get hitched or call it quits? couples put their love to the test — while shacking up with other potential matches — in a provocative reality series. vanessalachey nicklachey
1439,1439,ts237972,Katla,"A year after a subglacial volcano erupts, mysterious elements from prehistoric times emerge from the melting ice, bringing unforeseen consequences.",2021,"['drama', 'thriller', 'scifi']",7.0,13472.0,52.807,7.2,GuðrúnÝrEyfjörð ÍrisTanjaFlygenring IngvarSigurdsson AlietteOpheim ÞorsteinnBachmann HaraldurAriStefánsson SólveigArnarsdóttir BaltasarBrekiSamper BirgittaBirgisdóttir KristínÞóraHaraldsdóttir BjörnIngiHilmarsson GuðrúnGísladóttir JóhannaFriðrikaSæmundsdóttir BjörnThors HelgaBragaJónsdóttir AldísAmahHamilton,"a year after a subglacial volcano erupts, mysterious elements from prehistoric times emerge from the melting ice, bringing unforeseen consequences. guðrúnýreyfjörð íristanjaflygenring ingvarsigurdsson alietteopheim þorsteinnbachmann haralduraristefánsson sólveigarnarsdóttir baltasarbrekisamper birgittabirgisdóttir kristínþóraharaldsdóttir björningihilmarsson guðrúngísladóttir jóhannafriðrikasæmundsdóttir björnthors helgabragajónsdóttir aldísamahhamilton"
1440,1440,ts262246,The Last Bus,"After embarking on a life-changing field trip, a group of whip-smart students fight to save humanity from an army of ruthless drones.",2022,"['scifi', 'comedy', 'drama', 'family', 'fantasy']",5.0,590.0,3.658,8.2,LauraCrowhurst DanielFrogson CarysJohn Amber-RosePerry PhoebeDeSilva MarlieMorrelle CurtisKantsa LaurynAjufo NathanaelSaleh RobertSheehan TomBasden MoosaMostafa,"after embarking on a life-changing field trip, a group of whip-smart students fight to save humanity from an army of ruthless drones. lauracrowhurst danielfrogson carysjohn amber-roseperry phoebedesilva marliemorrelle curtiskantsa laurynajufo nathanaelsaleh robertsheehan tombasden moosamostafa"
1441,1441,ts313668,Tear Along the Dotted Line,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,2021,"['drama', 'comedy', 'animation']",8.7,8053.0,24.559,8.3,Zerocalcare ValerioMastandrea,a cartoonist in rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city. zerocalcare valeriomastandrea
1442,1442,ts288489,Pretty Guardians Sailor Moon Eternal The Movie,"When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world.",2021,['action'],,,19.654,9.6,KotonoMitsuishi StephanieSheh KateHiggins CristinaValenzuela BarbaraGoodson RobbieDaymond LauraPost AmandaCélineMiller CheramiLeigh SandyFox EricaMendez VeronicaTaylor LaurenLanda ChristineMarieCabanos,"when a dark power enshrouds the earth after a total solar eclipse, the scattered sailor guardians must reunite to bring light back into the world. kotonomitsuishi stephaniesheh katehiggins cristinavalenzuela barbaragoodson robbiedaymond laurapost amandacélinemiller cheramileigh sandyfox ericamendez veronicataylor laurenlanda christinemariecabanos"
1443,1443,ts104499,Trese,"Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings.",2021,"['horror', 'scifi', 'thriller', 'action', 'crime', 'fantasy', 'animation']",7.0,3803.0,20.878,7.4,ShayMitchell GriffinPuatu CarlosAlazraqui MatthewYangKing JonJonBriones SteveBlum EricBauza,"set in manila where the mythical creatures of philippine folklore live in hiding amongst humans, alexandra trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings. shaymitchell griffinpuatu carlosalazraqui matthewyangking jonjonbriones steveblum ericbauza"
